;1;2;3;4;5;6;7;8;9;10
6844;154;154;155;154;154;154;156;155;155;154
15848;155;154;156;156;155;155;157;155;156;157
33074;158;157;157;157;157;157;157;157;158;157
41670;157;159;159;158;159;158;159;160;159;157
71662;159;161;160;160;161;163;159;161;165;161
