Profiling Data for connect_and_send_file:

Total Bytes Sent: 41684
Chunk Size: 512 bytes
Number of Chunks Sent: 81
Remaining Bytes: 212

Connection Time (microseconds): 3423082, 2031237, 1889445, 1948962, 2037367, 1916508, 2001193, 1974613, 3227309, 1981204, 3294649, 3382667, 3323633, 2048435, 3226935, 1889890, 2042037, 1969445, 4445734, 2020441
Finding characteristic and service (microseconds): 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Total Sending Time (microseconds): 1460954, 1507114, 1488355, 1443501, 1457223, 1424610, 1477287, 1427295, 1423442, 1474608, 1509718, 1448093, 1475880, 1517371, 1539432, 1490761, 1516973, 1542334, 1478616, 1482373

Chunk Timing Details:
Chunk round trip times (microseconds):
Chunk 28: 12200, 12496, 41241, 13757, 40287, 12475, 30003, 12458, 12471, 30870, 12542, 12495, 15000, 12535, 12462, 12535, 12148, 17381, 15006, 28678
Chunk 29: 12497, 28711, 12499, 12506, 12285, 12539, 28704, 12539, 12505, 21290, 12460, 28750, 12458, 31206, 12502, 13720, 15240, 35009, 12521, 22506
Chunk 30: 12451, 23829, 36221, 12447, 12965, 12758, 22508, 12542, 34976, 16247, 12539, 20416, 12493, 20056, 15037, 36253, 12253, 12503, 12476, 12505
Chunk 31: 45040, 12467, 27509, 28741, 28188, 32193, 12501, 28653, 35007, 12456, 28704, 12121, 12517, 12461, 12529, 36305, 12576, 12868, 12541, 12516
Chunk 32: 28941, 12478, 39989, 20022, 41237, 40031, 12532, 26272, 14985, 12519, 23817, 12461, 28751, 12540, 28671, 12708, 39901, 12166, 29960, 12520
Chunk 33: 12324, 13753, 12501, 12491, 12504, 12512, 12503, 13730, 12518, 12527, 12842, 12525, 23743, 12495, 27505, 14756, 12484, 12511, 20002, 12459
Chunk 34: 12629, 12479, 12512, 12549, 12574, 12514, 12466, 12533, 12506, 12719, 24635, 15029, 30049, 12724, 12490, 12509, 15016, 14945, 12504, 12506
Chunk 35: 12367, 15017, 12538, 12479, 12631, 12443, 25055, 12450, 12505, 36015, 20068, 12459, 24950, 12244, 12507, 28792, 12537, 12502, 40052, 34975
Chunk 36: 32460, 28725, 12451, 12840, 12311, 12485, 28701, 36278, 12485, 12481, 12423, 12518, 12501, 32520, 14999, 21328, 12764, 32502, 15039, 13762
Chunk 37: 16288, 12510, 12542, 12135, 43715, 12535, 21267, 37492, 29991, 13734, 65260, 36223, 30006, 31253, 12524, 12361, 12205, 18750, 41166, 12555
Chunk 38: 12467, 12505, 12470, 12492, 12530, 28731, 12479, 12478, 16589, 31292, 11004, 12557, 23755, 29998, 12517, 12681, 12536, 12531, 12520, 12435
Chunk 39: 12505, 12512, 28754, 40012, 12465, 26813, 12542, 12539, 12164, 12452, 12510, 12468, 12577, 12506, 40303, 14846, 35264, 25073, 14968, 12517
Chunk 40: 12497, 12516, 12493, 12519, 12513, 11989, 12457, 12818, 12490, 12520, 12469, 12496, 12415, 12490, 24718, 12783, 38441, 12400, 17528, 12523
Chunk 41: 12498, 12505, 12488, 12509, 12550, 12461, 16266, 12141, 12589, 28762, 12509, 12796, 12536, 14998, 11240, 12205, 12526, 15002, 12483, 12510
Chunk 42: 12503, 37469, 12918, 12507, 12453, 12566, 12525, 12520, 12505, 29991, 29962, 12213, 12492, 36232, 24962, 50011, 12530, 33759, 12510, 14997
Chunk 43: 12550, 38753, 12147, 13706, 12478, 12421, 31196, 12488, 12421, 12509, 17504, 12449, 12489, 12527, 41236, 12490, 12449, 12473, 12491, 37473
Chunk 44: 38697, 12488, 12479, 12500, 38785, 16275, 12513, 32528, 12476, 12516, 12500, 28761, 28732, 12493, 48760, 12691, 28800, 12636, 36269, 12795
Chunk 45: 12497, 12544, 13737, 12503, 12507, 33794, 12505, 12515, 42517, 12462, 15055, 23769, 25016, 12549, 20100, 16123, 19999, 17429, 12487, 14778
Chunk 46: 12494, 12463, 12486, 42503, 12510, 16184, 12491, 12464, 12474, 12524, 12483, 12491, 14973, 12422, 12424, 12444, 24011, 13694, 12492, 12738
Chunk 47: 12516, 16289, 28753, 12492, 14959, 12505, 38774, 12486, 12528, 12512, 12499, 12478, 12807, 15029, 12503, 12681, 13489, 12504, 12492, 12184
Chunk 48: 12740, 12485, 16223, 12546, 12503, 12543, 12479, 12509, 12495, 32472, 12535, 12546, 12235, 46224, 28709, 29785, 12468, 12534, 17834, 17799
Chunk 49: 12282, 29965, 12571, 12502, 12518, 22493, 28761, 16246, 12749, 17531, 38672, 12475, 12522, 12478, 22581, 23745, 25009, 32466, 12308, 12609
Chunk 50: 16233, 17522, 12487, 12461, 12481, 12489, 18731, 12500, 12396, 12488, 22509, 12530, 12505, 12582, 12514, 12713, 28735, 21319, 12765, 36067
Chunk 51: 35018, 12474, 12481, 13146, 36255, 12481, 12561, 12498, 12372, 12492, 12534, 40237, 29943, 12430, 12560, 12282, 21254, 13713, 39609, 12321
Chunk 52: 12475, 12503, 12490, 13147, 12569, 37525, 14976, 38775, 28747, 12503, 12463, 35993, 27571, 12507, 12415, 12520, 12483, 12476, 12483, 12516
Chunk 53: 12537, 13754, 17784, 57455, 12483, 12490, 12513, 12479, 18730, 12521, 13797, 12489, 12428, 12481, 12745, 12472, 15011, 12545, 12536, 14972
Chunk 54: 12454, 12506, 28435, 12574, 12474, 12471, 12506, 13758, 12500, 12465, 12494, 12499, 12510, 13788, 12213, 12509, 12511, 12737, 12835, 14993
Chunk 55: 12536, 12498, 20017, 12437, 12919, 12530, 12449, 12566, 12513, 12485, 12453, 12539, 12539, 12492, 31225, 12571, 12487, 12193, 12124, 12478
Chunk 56: 12471, 12471, 12496, 12550, 12088, 12488, 28763, 12462, 12516, 36293, 28753, 12601, 22472, 33763, 16270, 37451, 12497, 28776, 12500, 12488
Chunk 57: 13779, 35043, 12502, 12460, 13738, 12527, 28735, 12498, 12480, 12467, 16266, 41158, 28735, 12469, 12483, 12476, 28753, 28740, 12507, 55017
Chunk 58: 36266, 12491, 12584, 12467, 28747, 12512, 12510, 12473, 12482, 12506, 12495, 12459, 39992, 12516, 17529, 12504, 21294, 27859, 31252, 12484
Chunk 59: 43737, 12491, 17429, 36286, 18734, 28702, 22496, 37500, 33905, 12522, 11249, 12496, 12538, 28747, 25054, 12526, 12437, 37183, 25390, 12526
Chunk 60: 14996, 15023, 12521, 12470, 12828, 22503, 27813, 12477, 34853, 12500, 12521, 12512, 14997, 30508, 30024, 15262, 12508, 56238, 27144, 12518
Chunk 61: 12497, 12459, 12459, 22491, 27212, 12500, 39709, 12555, 17520, 12496, 12497, 35031, 23757, 34485, 42408, 12247, 25019, 23749, 25036, 12492
Chunk 62: 12476, 12514, 33762, 12539, 22547, 12529, 12846, 13743, 12486, 12475, 12472, 18735, 33714, 12475, 12498, 12479, 30036, 12494, 12430, 12504
Chunk 63: 32494, 17518, 12502, 12462, 12771, 13766, 12176, 12471, 12500, 32504, 12506, 34995, 25018, 12522, 12500, 37525, 32453, 12505, 37504, 38712
Chunk 64: 27508, 57522, 40013, 12518, 29678, 12463, 12518, 27514, 12600, 12519, 37481, 12450, 12549, 12520, 12527, 12922, 12526, 12504, 12544, 43848
Chunk 65: 23813, 25060, 29981, 42545, 18703, 12503, 12449, 49981, 39913, 12508, 15100, 12832, 12460, 12495, 12471, 17109, 12462, 37471, 12478, 12435
Chunk 66: 12462, 22477, 47487, 25361, 12543, 41305, 15222, 14998, 24988, 12468, 12463, 12263, 12495, 12515, 12513, 12458, 12528, 12576, 25191, 12863
Chunk 67: 12459, 12432, 16256, 12078, 12490, 46211, 12311, 12541, 12532, 25822, 24998, 24930, 12476, 12508, 29977, 68736, 12467, 12505, 11115, 12356
Chunk 68: 12873, 41261, 12512, 12539, 34006, 12482, 28715, 12518, 12732, 21777, 27524, 32552, 12485, 30218, 21252, 18745, 12500, 12423, 74912, 37290
Chunk 69: 29630, 12532, 12551, 35304, 12249, 12501, 27654, 12468, 12225, 44904, 49926, 24982, 37516, 28806, 12522, 12537, 16244, 12504, 12499, 14985
Chunk 70: 23773, 12897, 12472, 40913, 39968, 15044, 12340, 12471, 12751, 17502, 12543, 12506, 12505, 53512, 12505, 12475, 37527, 12492, 12508, 12483
Chunk 71: 15032, 12081, 12491, 12818, 12489, 39940, 12489, 28780, 29744, 17536, 12474, 12511, 12510, 12467, 12490, 12493, 12524, 12477, 13797, 12827
Chunk 72: 12756, 12479, 28732, 12211, 15026, 12497, 12535, 40038, 17498, 12512, 12491, 12732, 12480, 38748, 12509, 12491, 48722, 12570, 12467, 12149
Chunk 73: 12222, 12557, 30258, 12492, 12808, 12509, 12459, 12527, 12535, 13717, 33774, 12262, 13018, 12485, 12493, 12481, 12523, 36209, 12481, 12512
Chunk 74: 12496, 12479, 12269, 20006, 12644, 12573, 16331, 12510, 12471, 34047, 28712, 13734, 11995, 12508, 32465, 28773, 29968, 12557, 36244, 12545
Chunk 75: 12505, 31200, 12484, 12485, 12111, 12430, 28678, 12458, 12558, 35969, 20013, 33706, 12527, 12463, 20273, 30009, 24997, 12464, 12514, 29963
Chunk 76: 37460, 41272, 12508, 28737, 12491, 12535, 17506, 12455, 16190, 13751, 12530, 13827, 29968, 12518, 12314, 12563, 12583, 12518, 12885, 25002
Chunk 77: 13802, 12492, 12506, 23765, 38698, 12470, 12515, 32505, 12501, 12461, 12492, 12432, 21257, 12504, 12443, 12457, 12460, 12482, 12293, 12532
Chunk 78: 22489, 12502, 12510, 12500, 13771, 31255, 12511, 21237, 12500, 12527, 12468, 12494, 12486, 12516, 40031, 14977, 14933, 12507, 12344, 12526
Chunk 79: 13044, 12488, 29941, 12477, 12484, 19995, 12496, 12566, 36289, 12478, 12488, 12508, 12492, 29955, 12446, 12500, 12570, 12499, 12469, 12470
Chunk 80: 11976, 28746, 21290, 13758, 12503, 12524, 12499, 12491, 12496, 12540, 12498, 13003, 12490, 13782, 40287, 32489, 12487, 29964, 12542, 12489
Chunk 81: 12671, 25010, 12468, 12513, 12525, 12491, 12460, 12593, 12499, 32449, 13058, 12214, 12549, 12533, 12261, 30056, 31213, 22511, 29962, 12469

----------------------------------------
Profiling Data for connect_and_send_file:

Total Bytes Sent: 41684
Chunk Size: 1024 bytes
Number of Chunks Sent: 40
Remaining Bytes: 724

Connection Time (microseconds): 1970611, 1119043, 1122393, 1067490, 949300, 1067490, 877949, 991915, 1055325, 2362611, 1038681, 2397376, 1014678, 1116618, 1078115, 2395743, 1069130, 2403705, 997810, 998733
Finding characteristic and service (microseconds): 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Total Sending Time (microseconds): 1065929, 1065724, 1088497, 1157362, 1077383, 1248591, 1118629, 1072124, 1076115, 1094612, 1107146, 1106482, 1110818, 1142281, 1109228, 1086080, 1133275, 1125707, 1144816, 1069795

Chunk Timing Details:
Chunk round trip times (microseconds):
